date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
08-Aug-2019 - 00:00,24.7,73.1,8.14,23.86,19.34,30.13,7.21,1.48,26.77,1.24,,,,,,,,
09-Aug-2019 - 00:00,9.67,55.73,6.86,18.18,15.24,27.1,6.41,1.85,17.39,2.37,,,,,,,,
10-Aug-2019 - 00:00,15.88,51.45,7.95,25.93,20.33,25.65,4.86,1.33,23.37,1.85,,,,,,,,
11-Aug-2019 - 00:00,25.73,71.99,5.44,24.61,17.52,31.25,5.53,1.61,25.2,0.94,,,,,,,,
12-Aug-2019 - 00:00,18.86,55.54,3.28,19.7,13.16,29.96,4.75,1.66,14.89,0.65,,,,,,,,
13-Aug-2019 - 00:00,23.08,63.09,6.37,22.85,17.32,26.69,6.19,1.87,11.45,1.14,,,,,,,,
14-Aug-2019 - 00:00,21.61,57.51,4.64,22.22,15.58,28.72,4.88,1.48,19.73,0.79,,,,,,,,
15-Aug-2019 - 00:00,19.77,51.92,3.1,15.21,10.62,32.44,4.44,1.73,8.17,1.4,,,,,,,,
16-Aug-2019 - 00:00,13.97,37.23,3.77,15.68,11.41,35.96,5.38,1.64,10.86,2.04,,,,,,,,
17-Aug-2019 - 00:00,6.62,20.48,8.41,19.01,16.99,33.84,5.04,1.63,5.4,2,,,,,,,,
18-Aug-2019 - 00:00,8.3,25.62,7.03,20.4,16.58,29.79,5.2,1.58,8.96,0.82,,,,,,,,
19-Aug-2019 - 00:00,38,97.62,18.16,28.11,29.74,28.52,6.74,1.69,16.35,0.76,,,,,,,,
20-Aug-2019 - 00:00,32.52,85,5.52,22.52,16.49,41.84,7.34,1.43,18.67,1.09,,,,,,,,
21-Aug-2019 - 00:00,52.6,149.94,5.55,24.61,17.62,42.61,8.72,1.43,25.31,1.11,,,,,,,,
22-Aug-2019 - 00:00,46.65,135.77,10.9,36.2,28.14,42.87,10.11,1.94,14.97,0.73,,,,,,,,
23-Aug-2019 - 00:00,50.1,162.38,16.84,35.36,32.56,44.68,7.9,1.49,20.89,0.76,,,,,,,,
24-Aug-2019 - 00:00,51.25,146.17,13.95,31.06,27.92,41.81,9.83,1.24,20.87,0.83,,,,,,,,
25-Aug-2019 - 00:00,36.67,91.31,6.32,28.71,20.4,38.71,6.87,1.15,20.13,1.07,,,,,,,,
26-Aug-2019 - 00:00,20.58,65.9,5.54,24.99,17.85,31.45,7.79,1.52,26.25,1.28,,,,,,,,
27-Aug-2019 - 00:00,40.38,111.77,12.83,28.37,25.54,32.69,11.3,1.35,30.02,0.9,,,,,,,,
28-Aug-2019 - 00:00,44.94,124.65,6.34,30.34,21.34,36.29,12.48,1.12,36.59,1.09,,,,,,,,
29-Aug-2019 - 00:00,39.2,120.76,8.31,32.16,23.93,30.82,9.74,1.64,32.35,1.18,,,,,,,,
30-Aug-2019 - 00:00,47.81,123.56,5.06,30.63,20.43,27.25,7.24,2.15,32.87,0.85,,,,,,,,
31-Aug-2019 - 00:00,59.12,148.69,5.35,38.64,24.93,28.61,6.62,2.03,24.58,0.69,,,,,,,,
01-Sep-2019 - 00:00,33.67,92.15,7.36,33.86,24.03,32.01,4.87,1.62,35.78,1.27,,,,,,,,
02-Sep-2019 - 00:00,47.71,127.06,7.58,24.89,19.39,32.03,8.57,1.87,35.24,0.93,,,,,,,,
03-Sep-2019 - 00:00,67.88,157.4,10.89,34.56,27.26,27.91,6.91,1.91,23.06,0.59,,,,,,,,
04-Sep-2019 - 00:00,58.19,125.48,6.33,26.78,19.42,29.14,4.46,1.91,17.77,1.16,,,,,,,,
05-Sep-2019 - 00:00,37.58,104.54,5.34,24.54,17.41,25.45,4.25,1.67,13.33,1.33,,,,,,,,
06-Sep-2019 - 00:00,34.99,100.3,7.29,33.55,23.8,27.43,5.67,1.63,18.14,1.15,,,,,,,,
07-Sep-2019 - 00:00,38.53,114.49,8.9,37.44,27.14,31.31,6.51,1.97,27.9,1.16,,,,,,,,
08-Sep-2019 - 00:00,38.54,117.3,3,21.86,14.08,30.94,5.66,1.56,21.03,1.03,,,,,,,,
09-Sep-2019 - 00:00,50.83,162.78,11.17,28.33,24.17,36.52,6.04,1.56,22.09,0.86,,,,,,,,
10-Sep-2019 - 00:00,66.8,186.89,16.94,34.21,32.01,43.08,7.84,1.4,34.94,0.82,,,,,,,,
11-Sep-2019 - 00:00,92.51,249.22,10.64,38.93,29.39,41.96,9.45,1.79,67.08,0.85,,,,,,,,
12-Sep-2019 - 00:00,57.83,155.88,9.94,34.47,26.44,36.11,7.06,1.88,34.46,1.35,,,,,,,,
13-Sep-2019 - 00:00,35.26,100.67,6.31,27.27,19.63,35.65,9.11,2.14,34.71,1.27,,,,,,,,
14-Sep-2019 - 00:00,25.39,77,4.68,20.33,14.64,28.29,8.95,1.52,25.33,1.48,,,,,,,,
15-Sep-2019 - 00:00,24.25,67.99,3.63,20.77,14,25.63,5.73,1.84,23.25,1.19,,,,,,,,
16-Sep-2019 - 00:00,54.71,159.1,9.69,30.01,23.79,28.08,8.11,2.14,39.23,0.85,,,,,,,,
17-Sep-2019 - 00:00,53.94,164.45,5.06,36.55,23.56,34.12,8.76,1.66,51.09,0.79,,,,,,,,
18-Sep-2019 - 00:00,32.95,105.52,5.23,28.69,19.53,26.56,14.3,0.77,44.05,1.51,,,,,,,,
19-Sep-2019 - 00:00,21.81,72.3,4.37,23.31,15.97,25.28,30.95,0.94,27.64,1.66,,,,,,,,
20-Sep-2019 - 00:00,48.83,141.52,13.07,33.65,28.58,26.37,34.61,1.14,43.56,1.11,,,,,,,,
21-Sep-2019 - 00:00,47.8,123.23,16.84,35.31,32.51,25.82,31.09,0.77,43.95,0.75,,,,,,,,
22-Sep-2019 - 00:00,25,73.6,16.76,28.79,28.96,,30.27,0.77,22.23,1.36,,,,,,,,
23-Sep-2019 - 00:00,34.36,82.65,9.61,29.39,23.47,,26.54,1.23,8.85,1.08,,,,,,,,
24-Sep-2019 - 00:00,35.79,108.61,21.53,43.58,40.69,12.05,2.87,1.45,6.42,0.82,,,,,,,,
25-Sep-2019 - 00:00,33.27,105.43,9.13,33.96,25.57,10.08,5.03,1.08,5.92,1.27,,,,,,,,
26-Sep-2019 - 00:00,26.48,87.02,5.78,25.71,18.39,10.58,5.28,0.78,4.71,1.5,,,,,,,,
27-Sep-2019 - 00:00,15.94,69.74,4.64,20.96,14.92,9.75,4.48,0.64,4.57,1.49,,,,,,,,
28-Sep-2019 - 00:00,23.17,81.92,5.44,21.36,15.8,9.92,6.35,0.59,3.76,1.46,,,,,,,,
29-Sep-2019 - 00:00,19.48,57.8,4.13,19.88,13.94,10,5.59,0.6,4.13,1.41,,,,,,,,
30-Sep-2019 - 00:00,34.33,93.02,9.38,32.08,24.69,9.86,5.7,0.86,5.37,1.09,,,,,,,,
01-Oct-2019 - 00:00,46.79,131.29,14.95,34.99,30.72,9.58,8.02,0.91,6.49,1.1,,,,,,,,
02-Oct-2019 - 00:00,45.83,131.02,30.45,34.04,43.7,11.28,9.18,0.93,7.46,0.73,,,,,,,,
03-Oct-2019 - 00:00,55.44,154.08,14.06,32.85,28.94,15.72,11.75,0.8,8.4,0.86,,,,,,,,
04-Oct-2019 - 00:00,43.46,112.67,3.44,28,17.69,16.14,7.99,0.6,5.74,1.2,,,,,,,,
05-Oct-2019 - 00:00,36.33,104,3.44,28.2,17.83,14.87,6.01,0.59,5.57,1.13,,,,,,,,
06-Oct-2019 - 00:00,54.58,144.46,1.35,24.6,14.19,16.31,6.98,0.67,5.74,1.12,,,,,,,,
07-Oct-2019 - 00:00,50.52,138.15,1.84,22.78,13.61,16.75,6.62,0.66,5.38,1.28,,,,,,,,
08-Oct-2019 - 00:00,44.21,120.35,7.58,23.86,18.83,16.34,7.86,0.72,5.54,0.96,,,,,,,,
09-Oct-2019 - 00:00,91.27,251.31,38.43,44.67,55.12,18.09,16.29,1.06,7.16,0.78,,,,,,,,
10-Oct-2019 - 00:00,122.44,310.46,17.17,45.84,38.36,25.9,16,1.06,6.55,0.8,,,,,,,,
11-Oct-2019 - 00:00,88,207.33,3.67,34.92,21.56,28.86,10.34,0.85,5.28,0.62,,,,,,,,
12-Oct-2019 - 00:00,95.19,234.46,9.59,42.02,30.18,24.95,9.38,0.98,5.46,0.72,,,,,,,,
13-Oct-2019 - 00:00,152.94,332.17,7.6,46.2,30.8,27.74,11.98,1.18,4.64,0.8,,,,,,,,
14-Oct-2019 - 00:00,127.46,281.54,49.21,49.78,66.56,26.14,9.13,1.38,12.34,0.61,,,,,,,,
15-Oct-2019 - 00:00,152.94,348.27,38.22,60.89,63.53,28.96,12.92,1.43,60.4,0.67,,,,,,,,
16-Oct-2019 - 00:00,169.1,338.29,36.86,50.53,56.96,35.4,10.1,1.53,72.93,0.84,,,,,,,,
17-Oct-2019 - 00:00,146.29,303.79,3.56,36.13,22.12,33.69,12.56,1.13,55.45,1.22,,,,,,,,
18-Oct-2019 - 00:00,105.9,247.35,6.59,37.68,25.45,30.26,9.87,0.98,60.8,1.41,,,,,,,,
19-Oct-2019 - 00:00,83.73,181.75,10.38,38.69,28.99,29.89,8.51,0.91,54.54,0.67,,,,,,,,
20-Oct-2019 - 00:00,95.15,188.12,2.8,29.38,17.93,28.61,6.79,0.81,50.04,0.97,,,,,,,,
21-Oct-2019 - 00:00,110.38,213.51,11.39,42.49,31.81,18.58,7.36,1.33,32.92,0.84,,,,,,,,
22-Oct-2019 - 00:00,95.44,193.64,6.23,45.07,29.05,13.37,10.81,1.42,49.87,0.88,,,,,,,,
23-Oct-2019 - 00:00,126.82,278.91,47.17,55.73,68.1,15.19,11.03,1.62,53.43,0.76,,,,,,,,
24-Oct-2019 - 00:00,173.83,343.62,40.91,64.4,67.58,23.72,16.49,1.7,60.55,0.75,,,,,,,,
25-Oct-2019 - 00:00,157.8,309.91,23.04,62.18,51.82,26.54,12.99,1.38,59,1.06,,,,,,,,
26-Oct-2019 - 00:00,170.09,339.04,53.41,68,79.78,30.65,11.74,1.64,54.11,0.62,,,,,,,,
27-Oct-2019 - 00:00,180.71,304.18,4.03,32.91,20.81,31.26,11.58,1.31,64.14,0.84,,,,,,,,
28-Oct-2019 - 00:00,223.11,324.56,9.72,33.71,25.86,24.68,11.3,2.19,61,0.46,,,,,,,,
29-Oct-2019 - 00:00,313.42,467.95,34.76,49.6,54.72,32.47,11.24,2.61,32.82,0.44,,,,,,,,
30-Oct-2019 - 00:00,308.71,484.9,24.42,57.81,50.67,41.53,12.66,2.18,27.96,0.49,,,,,,,,
31-Oct-2019 - 00:00,362.72,585.67,24.07,63.03,53.68,50.38,16.3,2.38,35.91,0.49,,,,,,,,
01-Nov-2019 - 00:00,370.48,636.72,37.2,61.79,63.14,52.25,15.44,2.28,51.92,0.59,,,,,,,,
02-Nov-2019 - 00:00,326.96,555.44,10.01,40.06,29.48,54.68,12.65,2.05,31.84,0.71,,,,,,,,
03-Nov-2019 - 00:00,689.1,649.05,10.05,49.43,34.47,74.27,5.67,3.3,9.82,0.57,,,,,,,,
04-Nov-2019 - 00:00,305.69,455.39,9.41,39.05,28.41,45.79,10.13,1.51,35.5,1.02,,,,,,,,
05-Nov-2019 - 00:00,191.56,430.66,9.73,42.02,30.3,30.02,10.6,1.52,44.94,0.93,,,,,,,,
06-Nov-2019 - 00:00,99.36,237.41,37.09,75.56,70.39,20.02,8.82,1.55,43.06,0.59,,,,,,,,
07-Nov-2019 - 00:00,155.51,335,16.15,56.72,43.39,31.6,10.11,1.73,20.37,1.11,,,,,,,,
08-Nov-2019 - 00:00,128.77,308.77,29.67,56.69,54.33,34.07,12.83,1.42,37.19,0.75,,,,,,,,
09-Nov-2019 - 00:00,131.49,260.27,6.81,37.75,25.67,34.6,11.74,1.19,39.11,1.22,,,,,,,,
10-Nov-2019 - 00:00,175,329.52,7.04,43.9,29.1,31.67,15.73,1.38,54.94,0.83,,,,,,,,
11-Nov-2019 - 00:00,230.1,437.48,10.04,53.86,36.85,35.87,17.43,1.72,56.76,0.89,,,,,,,,
12-Nov-2019 - 00:00,341.26,555.34,10.87,55.38,38.31,20.65,16.01,1.97,57.89,0.73,,,,,,,,
13-Nov-2019 - 00:00,333.68,537.67,13.03,58.16,41.53,28.7,18.82,1.98,52.83,0.66,,,,,,,,
14-Nov-2019 - 00:00,281.8,484.77,28.34,55.23,52.5,35.65,14.97,1.85,,0.58,,,,,,,,
15-Nov-2019 - 00:00,402.3,561.9,14.71,54.23,40.83,38.04,15.1,2.25,20.16,0.78,,,,,,,,
16-Nov-2019 - 00:00,164.67,330.04,6.01,40.3,26.34,22.69,15.71,1.2,50.9,1.5,,,,,,,,
17-Nov-2019 - 00:00,99.12,177.01,4.06,22.06,15.04,21.42,9.23,0.94,48.55,1.93,,,,,,,,
18-Nov-2019 - 00:00,140.93,206.75,19.22,62.28,48.81,,12.59,1.28,43.5,0.73,,,,,,,,
19-Nov-2019 - 00:00,154.96,234.78,17.83,54.31,43.39,26.21,14.43,1.44,48.56,0.62,,,,,,,,
20-Nov-2019 - 00:00,216.14,380.28,128.07,99.83,157.48,24.56,19.9,2.18,55.61,0.37,,,,,,,,
21-Nov-2019 - 00:00,237.83,450.58,110.33,79.77,132.39,21.82,30.76,1.92,61.94,0.61,,,,,,,,
22-Nov-2019 - 00:00,235.55,431.06,88.5,86.81,118.4,31.54,18.37,1.62,84.55,0.46,,,,,,,,
23-Nov-2019 - 00:00,120.88,205.89,5.73,31.85,21.59,19.57,9.51,1,50.29,1.17,,,,,,,,
24-Nov-2019 - 00:00,102.81,180.69,,,,,,,,,,,,,,,,
25-Nov-2019 - 00:00,136.06,246.55,18.78,46.8,40.24,20.53,28.38,1.07,76.63,0.74,,,,,,,,
26-Nov-2019 - 00:00,95.53,251.94,5.23,35.93,23.07,24.16,31.85,1.06,58,1.45,,,,,,,,
27-Nov-2019 - 00:00,83.19,179.46,0.33,4.29,2.54,18.75,,1,41.28,1.37,,,,,,,,
28-Nov-2019 - 00:00,33.26,77.72,6.18,13.47,11.75,23.23,0.3,0.99,41.33,1.52,,,,,,,,
29-Nov-2019 - 00:00,59.49,123.46,12.34,30.33,26.24,25.66,0.3,0.87,31.76,0.95,,,,,,,,
30-Nov-2019 - 00:00,85.77,140.01,11.88,29.9,25.61,26.9,26.55,0.8,26.93,0.71,,,,,,,,
01-Dec-2019 - 00:00,122.38,195.47,5.54,21.34,31.63,26.63,58.39,0.73,51.21,0.76,,,,,,,,
02-Dec-2019 - 00:00,156.56,252.05,11.68,33.39,44.84,28.72,48.5,0.95,46.63,0.76,,,,,,,,
03-Dec-2019 - 00:00,163.54,253.61,23.77,43.41,45.17,30.98,15.93,0.93,44.08,0.65,,,,,,,,
04-Dec-2019 - 00:00,182.67,303.45,45.85,61.03,44.56,33.37,32.99,1.22,47.17,0.51,,,,,,,,
05-Dec-2019 - 00:00,293.8,478,24.17,58.68,73.39,39.54,,1.94,67.8,0.72,,,,,,,,
06-Dec-2019 - 00:00,229.44,352.62,23.32,48.05,54.59,46.03,,1.87,39.32,0.73,,,,,,,,
07-Dec-2019 - 00:00,217.38,354.69,54.35,70.56,49.33,62.42,130.49,1.45,45.24,0.52,,,,,,,,
08-Dec-2019 - 00:00,200.33,327.27,39.41,56.84,46.46,60,4.42,1.12,41.37,0.64,,,,,,,,
09-Dec-2019 - 00:00,186.33,288.21,29.28,50.87,50.7,56.55,8.89,0.99,48.64,0.57,,,,,,,,
10-Dec-2019 - 00:00,245.42,373.77,68.57,87.68,59.84,61.31,4.71,1.49,45.62,0.47,,,,,,,,
11-Dec-2019 - 00:00,351.15,571.92,113.69,140.12,89.44,69.18,5.89,1.91,69.19,0.66,,,,,,,,
12-Dec-2019 - 00:00,294.49,425.01,16.29,44.75,59.19,61.64,6.12,1.19,31.79,1.26,,,,,,,,
13-Dec-2019 - 00:00,86.23,117.26,10.89,24.68,29.66,34.64,6.5,1.23,35.35,1.28,,,,,,,,
14-Dec-2019 - 00:00,61.02,121.19,11.8,25.08,29.11,27.24,3.17,0.71,29.5,0.76,,,,,,,,
15-Dec-2019 - 00:00,81.71,134.01,8.26,18.5,22.13,33.04,11.74,0.87,28.51,0.88,,,,,,,,
16-Dec-2019 - 00:00,68.77,112.18,5.4,13.64,17.37,34.13,11.75,0.44,25.46,1.15,,,,,,,,
17-Dec-2019 - 00:00,86.61,140.51,12.62,20.86,19.85,50.57,10.64,0.92,26.77,0.97,,,,,,,,
18-Dec-2019 - 00:00,136.8,212.1,7.58,20.87,27.61,56.12,10.74,0.69,38.28,1.02,,,,,,,,
19-Dec-2019 - 00:00,280.36,441.18,74.01,89.51,54.81,66.8,9.29,2,21.14,0.68,,,,,,,,
20-Dec-2019 - 00:00,302.38,451.09,22.66,45.37,50.17,69.1,11.35,2.96,13.16,0.52,,,,,,,,
21-Dec-2019 - 00:00,188.73,294.97,13.09,27.82,32.54,77.74,12.26,1.68,8.94,0.84,,,,,,,,
22-Dec-2019 - 00:00,126.11,186.59,6.05,17.96,24.51,64.81,10.17,1.63,19.85,1.17,,,,,,,,
23-Dec-2019 - 00:00,140.56,212.07,31.46,38.88,24.86,54.6,11.78,1.45,18.58,0.84,,,,,,,,
24-Dec-2019 - 00:00,212.42,356.24,26.96,44.01,41.41,54.4,10.29,2.21,13.38,0.72,,,,,,,,
25-Dec-2019 - 00:00,125.06,209.26,8.4,20.42,25.52,47.94,8.22,1.7,14.97,1.15,,,,,,,,
26-Dec-2019 - 00:00,169.58,272.17,11.37,25.54,30.59,56.7,14.13,1.4,13.59,0.97,,,,,,,,
27-Dec-2019 - 00:00,259.3,431.21,33.14,51.77,46.51,53.36,6.24,1.58,9.85,0.59,,,,,,,,
28-Dec-2019 - 00:00,220.54,372.41,37.01,52.03,41.13,47.58,6.23,1.85,9.43,0.72,,,,,,,,
29-Dec-2019 - 00:00,274.67,455.99,17.24,41.43,51.4,47.42,10.18,1.51,22.26,0.62,,,,,,,,
30-Dec-2019 - 00:00,244.3,362.71,30.8,52.09,50.49,46.68,12.23,1.63,3.66,0.94,,,,,,,,
31-Dec-2019 - 00:00,276.455,432.935,75.48,57.9,91.16,50.4,11.275,11.285,19.86,0.96,,,,,,,,
01-Jan-2020 - 00:00,308.61,503.16,120.16,63.71,131.83,54.12,10.32,20.94,1.76,,,,,,,,,
02-Jan-2020 - 00:00,260.65,445.04,117.58,58.69,127.01,53.69,9.48,16.39,1.92,,,,,,,,,
03-Jan-2020 - 00:00,185.42,331.37,79.19,57.76,95.31,51.86,8.84,20.38,1.28,,,,,,,,,
04-Jan-2020 - 00:00,191.62,333.93,42.24,47.32,59.63,49.11,,32.38,1.31,,,,,,,,,
05-Jan-2020 - 00:00,164.42,,8.8,39.42,28.16,50.97,,44.48,1.02,,,,,,,,,
06-Jan-2020 - 00:00,158.88,161.78,17.72,47.16,39.63,54.27,,22.74,1.04,,,,,,,,,
07-Jan-2020 - 00:00,99.41,157.3,25.14,42.12,42.95,41.29,12.65,17.81,0.83,,,,,,,,,
08-Jan-2020 - 00:00,93.95,129.81,25.21,36.64,39.76,38.88,12.87,15.04,1.55,,,,,,,,,
09-Jan-2020 - 00:00,84.35,137.71,10.78,31.21,25.41,30.6,11.96,23.38,2.61,,,,,,,,,
10-Jan-2020 - 00:00,130.82,194.45,13,43.86,33.93,33.7,13.46,31.36,4.48,,,,,,,,,
11-Jan-2020 - 00:00,143.79,221.64,16.22,49.02,39.26,40.07,12.18,32.71,0,,,,,,,,,
12-Jan-2020 - 00:00,190.08,307.28,60.25,56.41,79.16,51.71,12.53,27.24,,,,,,,,,,
13-Jan-2020 - 00:00,208.08,358.53,56.74,61.38,78.95,56.89,11.8,17.96,1.02,,,,,,,,,
14-Jan-2020 - 00:00,108.64,174.22,6.48,26.96,19.63,48.7,12.38,22.38,1.22,,,,,,,,,
15-Jan-2020 - 00:00,113.41,202.92,7.43,34.12,24.2,41.22,12.81,30.8,0.73,,,,,,,,,
16-Jan-2020 - 00:00,146.65,232.1,13.6,36.71,30.62,43.66,12.85,11.35,0.68,,,,,,,,,
17-Jan-2020 - 00:00,119.92,188.12,18.53,30.51,31.34,40.05,11.83,13.64,0.65,,,,,,,,,
18-Jan-2020 - 00:00,111.88,176.92,15.04,38.88,32.92,35.59,11.96,23.57,0.71,,,,,,,,,
19-Jan-2020 - 00:00,108.75,154.98,5.23,19.68,14.74,31.71,12.66,28.63,0.49,,,,,,,,,
20-Jan-2020 - 00:00,143.46,221.08,27.31,32.41,39.56,33.47,12.17,26.2,0.76,,,,,,,,,
21-Jan-2020 - 00:00,267.4,432,41.66,58.69,65.2,42.51,12.19,19.5,1.17,,,,,,,,,
22-Jan-2020 - 00:00,149.15,211.1,29.8,33,41.85,36.42,12.93,21.24,0.99,,,,,,,,,
23-Jan-2020 - 00:00,67.2,132.57,5.88,33.28,22.5,33.19,8.81,41.3,0.44,,,,,,,,,
24-Jan-2020 - 00:00,91.07,155.29,15.34,41.19,34.44,33.95,6.64,51.16,0.77,,,,,,,,,
25-Jan-2020 - 00:00,175.97,312.49,37.41,52.45,58.55,48.07,16.93,54.93,0.9,,,,,,,,,
26-Jan-2020 - 00:00,196.29,304.52,24.69,41.03,41.96,52.03,13.21,50.37,0.91,,,,,,,,,
27-Jan-2020 - 00:00,195.75,335.19,58.06,61.11,79.85,53.6,17.4,31.26,1,,,,,,,,,
28-Jan-2020 - 00:00,105.5,162.94,15.36,43.56,35.75,41.76,13.01,26.31,0.71,,,,,,,,,
29-Jan-2020 - 00:00,83.31,155.67,9.36,34.8,26.15,35.38,12.61,37.47,0.58,,,,,,,,,
30-Jan-2020 - 00:00,93.43,158.31,9.07,30.19,23.45,31.27,11.6,32.66,0.68,,,,,,,,,
31-Jan-2020 - 00:00,96.15,183.14,19.08,31.12,32.11,27.76,12.79,27.34,0.69,,,,,,,,,
01-Feb-2020 - 00:00,108.24,211.19,48.26,31.99,56.36,30.3,12.61,35.79,0.83,,,,,,,,,
02-Feb-2020 - 00:00,115.57,184.17,6.48,28.81,20.6,32.85,11.98,33.82,0.71,,,,,,,,,
03-Feb-2020 - 00:00,152.57,297.02,56.62,43.81,70.82,35.09,14.56,43.16,1.08,,,,,,,,,
04-Feb-2020 - 00:00,174.3,379.53,79.69,66.43,100.24,38.48,24.05,52.59,0.93,,,,,,,,,
05-Feb-2020 - 00:00,140.49,271.98,10.16,40.14,29.64,40.17,18.48,41,0.75,,,,,,,,,
06-Feb-2020 - 00:00,142.73,262.43,21.26,39.8,38.49,33.11,18.23,44.98,0.69,,,,,,,,,
07-Feb-2020 - 00:00,156.81,270.66,71.32,47.51,83.47,31.67,16.53,36.85,0.97,,,,,,,,,
08-Feb-2020 - 00:00,160.5,254.98,6.02,34.8,23.42,32.64,18.21,44.82,0.54,,,,,,,,,
09-Feb-2020 - 00:00,177.4,280.03,12.01,39.82,30.97,33.51,21.02,43.47,0.78,,,,,,,,,
10-Feb-2020 - 00:00,173.12,296.78,26.93,46.06,46.41,31.71,18.47,38.81,0.85,,,,,,,,,
11-Feb-2020 - 00:00,164.04,279.18,20.32,49.01,42.64,31.98,17.51,41.81,0.75,,,,,,,,,
12-Feb-2020 - 00:00,185.05,297.19,6.32,35.43,24,39.99,23.74,50.11,1.1,,,,,,,,,
13-Feb-2020 - 00:00,93.34,163.99,4.78,23.52,16.41,35.45,18.97,52.48,0.94,,,,,,,,,
14-Feb-2020 - 00:00,83.38,177.88,4.98,22.86,16.22,32.62,22.78,54.27,0.74,,,,,,,,,
15-Feb-2020 - 00:00,105.62,195.82,5.21,32.57,21.57,30.93,23.23,53.56,0.75,,,,,,,,,
16-Feb-2020 - 00:00,159.09,277.48,10.79,46.5,33.52,39.81,30,48.13,0.98,,,,,,,,,
17-Feb-2020 - 00:00,163.25,282.45,10.07,45.32,32.31,41.41,31.85,52.29,0.88,,,,,,,,,
18-Feb-2020 - 00:00,146.07,260.66,23.61,47.83,44.66,35.58,31.98,56.05,0.9,,,,,,,,,
19-Feb-2020 - 00:00,182.27,396.51,112.19,75.16,131.35,34.72,27.28,59.48,1.91,,,,,,,,,
20-Feb-2020 - 00:00,111.65,283.81,14.05,52.12,39.22,37.63,20.06,53.56,1.09,,,,,,,,,
21-Feb-2020 - 00:00,52.44,106.56,5.91,30.11,20.82,36.08,10.75,48.93,1.2,,,,,,,,,
22-Feb-2020 - 00:00,66.14,145.19,10.1,38.55,28.74,35.95,15.5,42.44,0.77,,,,,,,,,
23-Feb-2020 - 00:00,106.44,213.54,16.69,45.05,37.56,47.89,22.24,42.12,0.5,,,,,,,,,
24-Feb-2020 - 00:00,74.92,173.17,8.21,47.67,32.02,45.14,24.88,46.35,0.66,,,,,,,,,
25-Feb-2020 - 00:00,149.9,261.29,11.66,49.39,35.78,52.73,29.34,38.96,0.64,,,,,,,,,
26-Feb-2020 - 00:00,188.29,346.65,36.86,53.72,58.67,46.12,30.98,36.98,0.91,,,,,,,,,
27-Feb-2020 - 00:00,127.83,272.48,26.32,56.14,51.22,41.98,19.54,44.77,0.98,,,,,,,,,
28-Feb-2020 - 00:00,86.19,203.1,13.1,51.21,38.04,41.45,10.25,34.1,0.66,,,,,,,,,
29-Feb-2020 - 00:00,60.08,138.25,15.09,35.62,31.28,35.52,15.14,36.54,0.5,,,,,,,,,
01-Mar-2020 - 00:00,50.58,118.46,16.78,47.58,38.99,31.71,15.04,47.73,0.61,,,,,,,,,
02-Mar-2020 - 00:00,85.65,205.27,25.66,48.13,46.51,36.12,17.28,43.25,0.68,,,,,,,,,
03-Mar-2020 - 00:00,94.28,219.77,16.03,44.74,36.9,39,27.25,41.23,0.58,,,,,,,,,
04-Mar-2020 - 00:00,91.49,221.01,45.42,58.62,68.25,36.56,19.98,46.6,0.86,,,,,,,,,
05-Mar-2020 - 00:00,31.4,74.53,14.14,44.02,34.91,35.62,10.91,30.43,0.87,,,,,,,,,
06-Mar-2020 - 00:00,22.98,46.22,14.4,40.55,33.35,28.83,12.22,35.54,0.52,,,,,,,,,
07-Mar-2020 - 00:00,48.79,109.69,12.31,50.38,36.87,28.74,14.59,43.43,0.61,,,,,,,,,
08-Mar-2020 - 00:00,67.97,121.16,21.54,35.03,36.18,28.99,15.11,37.76,0.67,,,,,,,,,
09-Mar-2020 - 00:00,59.9,134.38,4.36,28.55,18.73,29.91,16.17,42.71,0.39,,,,,,,,,
10-Mar-2020 - 00:00,75.22,147.39,2.35,21.65,13.45,29.25,21.72,66.75,0.42,,,,,,,,,
11-Mar-2020 - 00:00,57.07,124.51,6.57,33.05,22.93,28.63,16.11,57.82,0.58,,,,,,,,,
12-Mar-2020 - 00:00,53.52,147.71,8.82,40.54,28.72,30.82,15.82,39.85,0.52,,,,,,,,,
13-Mar-2020 - 00:00,89.45,268.33,31.32,45.41,49.71,33.39,24.2,43.59,0.7,,,,,,,,,
14-Mar-2020 - 00:00,40.25,93.14,12.48,38.04,30.43,25.28,12.27,34.52,0.33,,,,,,,,,
15-Mar-2020 - 00:00,74.54,161.28,23.11,35.22,37.63,32.01,13.47,47.04,0.58,,,,,,,,,
16-Mar-2020 - 00:00,67.08,156.95,5.18,34.83,22.85,30.92,13.51,50.84,0.54,,,,,,,,,
17-Mar-2020 - 00:00,79.78,174,5.08,36.65,23.61,33.95,18.24,49.88,0.47,,,,,,,,,
18-Mar-2020 - 00:00,76.59,174.55,5.08,37.79,24.24,40.29,14.58,62.56,0.52,,,,,,,,,
19-Mar-2020 - 00:00,108.41,234.09,11.02,41.03,30.8,39.38,14.96,52.63,0.64,,,,,,,,,
20-Mar-2020 - 00:00,101.76,272.94,22.16,52.29,45.86,36.5,21.6,55.72,0.87,,,,,,,,,
21-Mar-2020 - 00:00,131.73,300.24,22.61,50.22,45,43.54,29.59,60.14,0.93,,,,,,,,,
