date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
20-Feb-2019 - 00:00,98.32,181.28,25.47,53.12,48.95,47.2,12.04,1.68,18.5,1.2,,,,,,,,
21-Feb-2019 - 00:00,74.28,207.46,45.52,62.61,70.39,42.04,15.89,2.04,28.07,1.23,,,,,,,,
22-Feb-2019 - 00:00,64.77,128.73,3.79,28.41,18.2,38.27,7.91,1.22,31.24,1.62,,,,,,,,
23-Feb-2019 - 00:00,54.6,108.97,3.41,34.71,21.62,27.99,10.35,1.33,43.3,1.38,,,,,,,,
24-Feb-2019 - 00:00,94.69,179.67,5.02,43.91,27.45,32.57,14.76,1.59,49.31,0.97,,,,,,,,
25-Feb-2019 - 00:00,82.58,196.52,43.82,59.1,67.2,37.24,10.74,1.46,51.95,0.94,,,,,,,,
26-Feb-2019 - 00:00,60.02,158.98,39.62,62.07,65.3,40.42,15.01,1.35,30.25,1.13,,,,,,,,
27-Feb-2019 - 00:00,55.39,135.55,10.34,43.01,31.34,38.36,13.24,1.49,24.17,1.25,,,,,,,,
28-Feb-2019 - 00:00,80.19,175.98,17.66,47.04,39.42,34.59,11.02,1.52,33.96,1.14,,,,,,,,
01-Mar-2019 - 00:00,72.46,161.16,8.01,47.73,31.9,33.43,11.01,1.62,40.66,1.09,,,,,,,,
02-Mar-2019 - 00:00,109.15,211.09,23.98,70.27,56.94,38.99,16.84,1.9,10.43,0.76,,,,,,,,
03-Mar-2019 - 00:00,59.17,126.21,13,51.13,37.81,34.65,12.57,1.74,35.88,1.05,,,,,,,,
04-Mar-2019 - 00:00,63.69,140.79,15.47,39.5,33.6,36.22,12.42,1.51,13.13,1.07,,,,,,,,
05-Mar-2019 - 00:00,59.29,148.56,6.28,41.07,26.98,30,11.66,1.54,31.97,1.17,,,,,,,,
06-Mar-2019 - 00:00,61.19,151.23,9.99,43.92,31.5,29.93,14.65,1.66,40.32,1.13,,,,,,,,
07-Mar-2019 - 00:00,89.08,216.03,14.91,53.94,40.65,34.54,20.6,1.74,46.25,0.92,,,,,,,,
08-Mar-2019 - 00:00,84.42,229.2,20.79,50.41,43.73,41.63,22.27,1.44,46.68,1.16,,,,,,,,
